CATEGORY,DATE,QUARTER,PDQ,X,Y,LONGITUDE,LATITUDE
Vol dans / sur véhicule à moteur,2/6/2019,jour,46,301042.433,5050255.346,-73.54815998,45.59219326
Méfait,2/7/2019,jour,50,298069.892,5042995.084,-73.5861585,45.5268406
Vol de véhicule à moteur,2/7/2019,nuit,4,282341.031,5040112,-73.78738484,45.50056841
Introduction,2/8/2019,soir,9,293458.701,5038496.679,-73.64508655,45.4863024
Introduction,2/10/2019,jour,20,299084.066,5039553.526,-73.57313499,45.49588111
Méfait,2/11/2019,soir,45,297463.044,5056216.153,-73.59412594,45.64580145
Introduction,2/12/2019,nuit,26,295369.144,5040155.012,-73.62067864,45.50125321
Introduction,2/13/2019,jour,31,295409.053,5044461.348,-73.62025047,45.54000381
Méfait,2/15/2019,jour,38,298505.728,5042556.15,-73.58057332,45.52289498
Introduction,2/17/2019,nuit,46,299304.53,5051189.513,-73.57044483,45.60058759
Introduction,2/18/2019,jour,38,296557.528,5042643.534,-73.60551376,45.52366098
Méfait,2/19/2019,jour,16,299939.125,5035757.427,-73.562157,45.46172853
Vol dans / sur véhicule à moteur,2/20/2019,soir,26,295170.558,5042614.012,-73.62326806,45.52337755
Vol dans / sur véhicule à moteur,2/21/2019,soir,23,300528.142,5044621.755,-73.55470232,45.5414974
Introduction,2/22/2019,jour,39,294058.844,5050716,-73.63767719,45.59626554
Méfait,2/23/2019,jour,46,301047.445,5051666.542,-73.54810659,45.60489161
Vol de véhicule à moteur,2/25/2019,soir,1,269498.846,5030264.309,-73.95100224,45.41142505
Vol dans / sur véhicule à moteur,2/26/2019,jour,16,301389.156,5035356.5,-73.54361239,45.45812938
Vol de véhicule à moteur,2/27/2019,soir,39,295846.417,5051317.602,-73.61477566,45.60170423
Méfait,2/28/2019,soir,5,286733.219,5033444.5,-73.73093779,45.44069909
Vol dans / sur véhicule à moteur,3/2/2019,soir,12,298561.631,5039474.583,-73.5798185,45.49516627
Introduction,3/4/2019,nuit,46,299224.013,5050974.011,-73.5714745,45.5986478
Introduction,3/5/2019,jour,20,299568.729,5040710.567,-73.5669461,45.50629646
Vol dans / sur véhicule à moteur,3/6/2019,jour,13,294709.5,5033626,-73.62898543,45.44249295
Vol dans / sur véhicule à moteur,3/7/2019,soir,5,279315.521,5032170.248,-73.82568689,45.42900183
Vol dans / sur véhicule à moteur,3/8/2019,jour,21,300251.965,5040480.227,-73.5582004,45.50422855
Méfait,3/9/2019,nuit,15,299947.252,5038110.871,-73.56207633,45.48290599
Méfait,3/11/2019,jour,44,299216.963,5048626.255,-73.57153802,45.57752196
Méfait,3/12/2019,jour,39,295572.531,5052831,-73.61831521,45.61531857
Méfait,3/13/2019,soir,35,296750.1,5044028.581,-73.60307137,45.5361264
Vol dans / sur véhicule à moteur,3/14/2019,jour,46,301042.433,5050255.346,-73.54815998,45.59219326
Introduction,3/14/2019,jour,39,295785.039,5053103.661,-73.61559547,45.61777483
Introduction,3/15/2019,nuit,21,300222.038,5040268.565,-73.55858139,45.50232373
Vol dans / sur véhicule à moteur,3/17/2019,soir,38,298080.2968,5042832.373,-73.58602306,45.52537657
Vol de véhicule à moteur,3/18/2019,jour,27,292750.32,5048630.236,-73.65439797,45.57747584
Introduction,3/19/2019,jour,38,297579.914,5042027.574,-73.59241691,45.51812967
Vol dans / sur véhicule à moteur,3/21/2019,jour,48,300203.555,5049420.4,-73.55890385,45.58467513
Introduction,3/22/2019,soir,20,298778.45,5039548.054,-73.57704525,45.4958293
Méfait,3/23/2019,soir,13,294220.719,5032352.5,-73.63520607,45.43102612
Méfait,3/24/2019,nuit,4,281665.531,5039277.5,-73.79598908,45.49303724
Méfait,3/25/2019,soir,46,298714.031,5051843.5,-73.57802242,45.60646742
Introduction,3/26/2019,jour,21,300031.401,5041834.03,-73.56103608,45.51640916
Vols qualifiés,3/27/2019,jour,10,287710.736,5043078.067,-73.7187781,45.52741031
Méfait,3/29/2019,jour,26,295882.314,5042016.521,-73.6141459,45.51801057
Vol dans / sur véhicule à moteur,3/29/2019,soir,38,298181.404,5042765.582,-73.58472783,45.52477652
Méfait,3/31/2019,jour,38,298550.785,5042214.901,-73.57999219,45.51982469
Méfait,4/2/2019,soir,48,301622.059,5050761.929,-73.54073433,45.59675452
Vol dans / sur véhicule à moteur,4/3/2019,soir,48,301856.206,5049347.597,-73.53772455,45.58402899
Introduction,4/4/2019,jour,7,291133.332,5043492.148,-73.67497354,45.53121187
Vol dans / sur véhicule à moteur,4/5/2019,jour,10,290045.405,5044232.975,-73.68892445,45.53785589
Vol dans / sur véhicule à moteur,4/6/2019,jour,20,299576.978,5040295.883,-73.56683612,45.50256502
Méfait,4/6/2019,soir,44,298294.113,5046502.602,-73.58333465,45.55840464
Introduction,4/7/2019,soir,13,292401,5031683,-73.65844563,45.42497172
Vol dans / sur véhicule à moteur,4/8/2019,jour,31,297027.389,5045668.085,-73.59954698,45.55088238
Vols qualifiés,4/9/2019,nuit,21,300136.015,5041258.261,-73.55969159,45.51122886
Vol dans / sur véhicule à moteur,4/10/2019,jour,45,298028.144,5054836.683,-73.58685709,45.63339444
Introduction,4/11/2019,jour,39,295443.34,5051879.232,-73.61995345,45.60675261
Introduction,4/12/2019,soir,13,293437.342,5032814.936,-73.64522848,45.43517507
Méfait,4/13/2019,jour,26,292355.338,5040124.354,-73.65924284,45.50093009
Vol dans / sur véhicule à moteur,4/14/2019,jour,20,296961.754,5039680.549,-73.60029182,45.4970035
Vol dans / sur véhicule à moteur,4/15/2019,soir,20,298790.62,5039874.631,-73.57689354,45.49876809
Introduction,4/16/2019,soir,44,299057.324,5045602.632,-73.57354804,45.55031311
Vol de véhicule à moteur,4/17/2019,soir,39,294839.725,5053221.012,-73.62771924,45.61881787
Vol dans / sur véhicule à moteur,4/18/2019,jour,27,293591.904,5044371.099,-73.64351682,45.53916485
Vol de véhicule à moteur,4/19/2019,soir,23,301198.387,5044786.61,-73.54612086,45.54298462
Méfait,4/20/2019,jour,4,278179.563,5036559,-73.84044146,45.46845107
Méfait,4/21/2019,soir,15,296787.879,5034092.832,-73.60242546,45.44672065
Vol de véhicule à moteur,4/22/2019,nuit,22,300226.341,5042024.902,-73.55854271,45.51812801
Vol dans / sur véhicule à moteur,4/23/2019,nuit,49,304186.782,5058275.645,-73.50786959,45.66437165
Vol de véhicule à moteur,4/23/2019,nuit,10,288115.348,5043036.126,-73.71359683,45.52704271
Vol de véhicule à moteur,4/24/2019,jour,7,289514.75,5040604,-73.69560597,45.50518967
Introduction,4/25/2019,jour,13,297277.265,5031921.703,-73.59613607,45.42718914
Vols qualifiés,4/26/2019,nuit,26,293040.914,5039215.371,-73.6504484,45.49276258
Vol dans / sur véhicule à moteur,4/27/2019,jour,27,293884.744,5045712.888,-73.63979701,45.55124337
Méfait,4/28/2019,jour,8,291037.844,5033575.5,-73.67591809,45.44197589
Vol de véhicule à moteur,4/29/2019,jour,5,279705.249,5036282.49,-73.82091608,45.46601942
Vol dans / sur véhicule à moteur,4/30/2019,jour,48,303509.917,5050101.607,-73.51653433,45.59081882
Vol dans / sur véhicule à moteur,5/1/2019,soir,26,294734.802,5040974.967,-73.62881258,45.50862263
Vols qualifiés,5/1/2019,soir,8,290211.25,5033562.5,-73.68648379,45.44184214
Introduction,5/3/2019,nuit,45,299317.304,5057298.365,-73.57034982,45.65555652
Vol dans / sur véhicule à moteur,5/4/2019,jour,13,293655.374,5031999.965,-73.64242333,45.42784505
Introduction,5/4/2019,nuit,35,297830.205,5044795.429,-73.58925258,45.54303842
Méfait,5/5/2019,jour,7,288045.641,5042577.395,-73.71447353,45.52291323
Méfait,5/7/2019,soir,26,293912.475,5038678.213,-73.63928557,45.48794314
Vols qualifiés,5/8/2019,jour,38,298636.198,5043224.088,-73.57891157,45.52890651
Introduction,5/9/2019,jour,26,292478.339,5039754.958,-73.65765964,45.4976083
Vol dans / sur véhicule à moteur,5/10/2019,soir,15,297022.343,5034803.449,-73.59943936,45.45311779
Vol de véhicule à moteur,5/11/2019,jour,7,288859.858,5042486.935,-73.70404782,45.52211833
Vol dans / sur véhicule à moteur,5/13/2019,jour,7,289692.745,5040800.438,-73.69333422,45.50696117
Introduction,5/13/2019,soir,12,298673.355,5039267.551,-73.57838643,45.4933043
Vol dans / sur véhicule à moteur,5/14/2019,jour,3,275042.938,5035706,-73.88050242,45.46064893
Méfait,5/15/2019,soir,31,295422.29,5045796.567,-73.62010656,45.55201874
Vol dans / sur véhicule à moteur,5/16/2019,nuit,27,293431.918,5048134.051,-73.64565284,45.5730225
Méfait,5/17/2019,soir,13,291851.969,5032085.5,-73.66547219,45.42858367
Vol de véhicule à moteur,5/18/2019,jour,30,296810.337,5046973.291,-73.60234817,45.5626246
Méfait,5/19/2019,jour,30,295979.258,5047426.057,-73.6130025,45.5666887
Vol dans / sur véhicule à moteur,5/21/2019,soir,31,295771.333,5045856.865,-73.61563726,45.55256594
Vol de véhicule à moteur,5/22/2019,jour,38,298014.971,5042187.462,-73.58685041,45.51957278
Vol de véhicule à moteur,5/23/2019,jour,45,297073.534,5052668.868,-73.59906672,45.61387798
Introduction,5/24/2019,jour,11,295308.02,5036426.63,-73.62138871,45.46770276
Vol de véhicule à moteur,5/25/2019,nuit,21,302754.15,5040687.093,-73.52618125,45.50610185
Méfait,5/26/2019,nuit,38,298453.056,5042067.713,-73.58124125,45.51849935
Vol dans / sur véhicule à moteur,5/27/2019,soir,48,302320.669,5048915.177,-73.53177029,45.58013975
Vol de véhicule à moteur,5/27/2019,jour,42,296350.875,5050821.5,-73.60830045,45.59724649
Vol de véhicule à moteur,5/28/2019,nuit,44,299247.472,5048689.076,-73.57114781,45.57808748
Introduction,5/29/2019,soir,26,293662.686,5039946.967,-73.64250994,45.49935598
Vol dans / sur véhicule à moteur,5/31/2019,soir,20,298642.56,5039642.674,-73.57878514,45.49667955
Vol de véhicule à moteur,6/1/2019,jour,30,295584.228,5048728.843,-73.61808778,45.57840644
Méfait,6/3/2019,jour,45,296504.887,5053058.2,-73.60636437,45.61737473
Introduction,6/4/2019,jour,35,297822.188,5045128.19,-73.58935998,45.54603264
Méfait,6/5/2019,jour,20,299344.836,5040364.062,-73.56980747,45.50317675
Introduction,6/6/2019,soir,23,301305.146,5045731.777,-73.5447605,45.55149011
Vols qualifiés,6/7/2019,jour,5,279054.587,5035900.977,-73.82921674,45.46256276
Introduction,6/8/2019,nuit,30,296765.493,5047488.213,-73.60293109,45.56725752
Introduction,6/9/2019,jour,38,299686.351,5044019.402,-73.56547538,45.53607154
Introduction,6/10/2019,jour,10,288568.881,5044006.551,-73.7078229,45.53578562
Méfait,6/11/2019,jour,13,294392.336,5031412.773,-73.6329929,45.42257254
Introduction,6/12/2019,soir,48,303555.78,5050433.541,-73.51594737,45.59380575
Vol dans / sur véhicule à moteur,6/13/2019,soir,44,298528.707,5046886.25,-73.58033463,45.56185898
Vol de véhicule à moteur,6/14/2019,jour,33,293883.415,5043416.562,-73.63976283,45.53058022
Vol dans / sur véhicule à moteur,6/15/2019,jour,22,300041.641,5043534.816,-73.56092153,45.53171357
Vol de véhicule à moteur,6/16/2019,soir,5,281466.85,5037508.771,-73.79844697,45.477115
Méfait,6/17/2019,jour,38,299118.393,5043574.594,-73.57274238,45.53206459
Méfait,6/18/2019,soir,27,292631.876,5048701.534,-73.65591742,45.57811534
Vol de véhicule à moteur,6/19/2019,jour,8,290844.62,5034267.939,-73.67840765,45.44820295
Vol dans / sur véhicule à moteur,6/20/2019,jour,38,299151.654,5042045.309,-73.5722989,45.51830376
Introduction,6/21/2019,jour,16,299875.781,5035758.5,-73.56296701,45.46173774
Vol de véhicule à moteur,6/22/2019,jour,33,295044.415,5043311.069,-73.62489671,45.52964817
Méfait,6/23/2019,nuit,26,295070.302,5040836.563,-73.62451617,45.50738198
Introduction,6/24/2019,soir,11,295524.941,5035913.496,-73.61860493,45.46308826
Vol de véhicule à moteur,6/25/2019,nuit,42,297858.313,5051063.5,-73.58898166,45.59944075
Vols qualifiés,6/26/2019,jour,38,298869.112,5041724.575,-73.57591156,45.51541532
Vol de véhicule à moteur,6/27/2019,soir,15,297928.779,5035977.126,-73.58786675,45.46368861
Méfait,6/29/2019,soir,23,301474.087,5044587.274,-73.542589,45.54119229
Méfait,6/30/2019,jour,7,291462.891,5043217.104,-73.67074675,45.52874331
Méfait,7/1/2019,jour,35,297335.75,5043433.338,-73.59556361,45.5307767
Introduction,7/2/2019,jour,13,292663.079,5032511.563,-73.65511698,45.43243215
Vol de véhicule à moteur,7/3/2019,soir,27,292994.107,5044240.553,-73.65116828,45.53798028
Vol dans / sur véhicule à moteur,7/4/2019,jour,8,290126.844,5033764.5,-73.68756874,45.44365807
Méfait,7/5/2019,jour,21,300224.623,5041129.073,-73.55855634,45.51006696
Vol dans / sur véhicule à moteur,7/6/2019,jour,26,294838.795,5039866.471,-73.62745919,45.49864943
Introduction,7/7/2019,soir,12,298673.355,5039267.551,-73.57838643,45.4933043
Méfait,7/8/2019,soir,48,303324.719,5052466.983,-73.51891507,45.61210276
Méfait,7/9/2019,jour,15,297858.077,5037642.038,-73.58879439,45.47866957
Méfait,7/10/2019,nuit,38,298692.505,5042435.582,-73.57818087,45.52181172
Vol dans / sur véhicule à moteur,7/11/2019,jour,20,298903.942,5040035.557,-73.57544545,45.50021713
Vol de véhicule à moteur,7/12/2019,jour,15,297021.6833,5036139.67,-73.59946893,45.46514175
Méfait,7/13/2019,nuit,23,300704.588,5045831.113,-73.552453,45.5523807
Méfait,7/14/2019,jour,1,278405.573,5034672.868,-73.83744988,45.45148759
Vol de véhicule à moteur,7/15/2019,jour,13,295980.344,5030796,-73.61268976,45.4170443
Introduction,7/16/2019,nuit,13,297135.875,5032336.5,-73.5979494,45.43092017
Vol dans / sur véhicule à moteur,7/17/2019,jour,21,299490.642,5041393.743,-73.5679528,45.51244337
Vol dans / sur véhicule à moteur,7/18/2019,jour,27,293288.258,5048411.976,-73.64750001,45.57552098
Vol dans / sur véhicule à moteur,7/20/2019,jour,20,299249.273,5039798.722,-73.57102395,45.49808882
Méfait,7/21/2019,jour,21,299738.209,5041903.58,-73.56478953,45.51703293
Vol dans / sur véhicule à moteur,7/22/2019,jour,49,305418.999,5055161.683,-73.49206019,45.6363516
Vol de véhicule à moteur,7/23/2019,jour,35,296924.505,5044302.103,-73.60084268,45.53858964
Vol dans / sur véhicule à moteur,7/24/2019,soir,15,297568.783,5035798.637,-73.59246762,45.46207885
Vol dans / sur véhicule à moteur,7/25/2019,soir,46,299022.094,5052289,-73.57407832,45.61047877
Vol dans / sur véhicule à moteur,7/26/2019,jour,9,294139.893,5034539.04,-73.6362864,45.45070048
Méfait,7/27/2019,nuit,21,302754.15,5040687.093,-73.52618125,45.50610185
Vol de véhicule à moteur,7/28/2019,jour,42,298682.25,5051093,-73.57842044,45.59971394
Vols qualifiés,7/29/2019,soir,45,297099.429,5055117.57,-73.59877339,45.63591224
Vol dans / sur véhicule à moteur,7/30/2019,jour,31,293739.283,5044586.9,-73.64163455,45.54110906
Méfait,7/31/2019,nuit,13,293276.969,5032311.5,-73.64726645,45.43064227
Vol de véhicule à moteur,8/1/2019,jour,5,288270.563,5037179.298,-73.71141245,45.47434449
Vol dans / sur véhicule à moteur,8/2/2019,jour,45,299060.098,5057313.618,-73.57365027,45.65569169
Vol dans / sur véhicule à moteur,8/4/2019,jour,44,298007.586,5045431.092,-73.58698993,45.54876009
Vol dans / sur véhicule à moteur,8/5/2019,jour,48,302157.128,5051378.83,-73.53387924,45.60230781
Méfait,8/6/2019,jour,27,293090.809,5046844.153,-73.64999237,45.56140995
Méfait,8/8/2019,soir,49,303984.418,5057110.871,-73.51046462,45.65389059
Vol dans / sur véhicule à moteur,8/9/2019,jour,39,294305.811,5049830.264,-73.63449261,45.58829923
Méfait,8/9/2019,jour,48,302693.595,5052261.475,-73.52700603,45.61025192
Méfait,8/11/2019,jour,39,295421.283,5053286.642,-73.62026328,45.61941652
Introduction,8/12/2019,jour,26,292470.101,5039969.834,-73.65777044,45.49954169
Vol dans / sur véhicule à moteur,8/12/2019,nuit,55,285459.663,5035175.298,-73.74728486,45.45623949
Vol de véhicule à moteur,8/13/2019,jour,5,283157,5038732,-73.77688297,45.48817649
Méfait,8/14/2019,jour,7,288914.951,5037454.261,-73.70317964,45.47683368
Méfait,8/15/2019,jour,45,299360.6139,5055463.392,-73.5697736,45.63904541
Introduction,8/16/2019,soir,13,292841.438,5032221.5,-73.65283041,45.42982509
Vol de véhicule à moteur,8/17/2019,soir,39,295772.055,5052150.147,-73.61574431,45.60919472
Introduction,8/18/2019,jour,31,295631.677,5043924.965,-73.61738975,45.53518021
Vol de véhicule à moteur,8/19/2019,soir,31,295771.333,5045856.865,-73.61563726,45.55256594
Méfait,8/20/2019,jour,16,299658.281,5036105,-73.56575185,45.46485415
Méfait,8/21/2019,jour,7,289283.116,5042521.596,-73.69863087,45.52243977
Introduction,8/22/2019,jour,21,300031.401,5041834.03,-73.56103608,45.51640916
Vol dans / sur véhicule à moteur,8/23/2019,jour,38,299096.016,5041493.574,-73.57300465,45.51333858
Vol de véhicule à moteur,8/24/2019,jour,46,300499.765,5050757.161,-73.55511966,45.59670559
Introduction,8/25/2019,jour,8,292592.53,5034167.863,-73.65605971,45.44733513
Vol de véhicule à moteur,8/26/2019,jour,5,285071.813,5034806,-73.75222903,45.45290555
Introduction,8/26/2019,soir,3,282445.912,5040635.49,-73.78606666,45.50528231
Introduction,8/27/2019,nuit,48,301460.246,5050556.658,-73.54280702,45.59490668
Vol de véhicule à moteur,8/29/2019,jour,7,286582.49,5040997.238,-73.73314454,45.50865774
Vol dans / sur véhicule à moteur,8/30/2019,soir,35,296842.357,5043633.697,-73.60188369,45.53257415
Vol dans / sur véhicule à moteur,8/31/2019,jour,5,281966.406,5035252,-73.79195254,45.45682426
Méfait,9/2/2019,soir,1,271251.393,5030496.706,-73.92862843,45.41360245
Méfait,9/3/2019,soir,45,299374.947,5057113.408,-73.56960812,45.65389269
Méfait,9/3/2019,soir,15,296878.913,5035108.021,-73.60127805,45.45585687
Introduction,9/4/2019,jour,20,298815.739,5040216.559,-73.5765763,45.50184512
Vol de véhicule à moteur,9/5/2019,nuit,45,297450.485,5054602.821,-73.59426272,45.63128422
Introduction,9/6/2019,jour,48,303895.31,5052005.604,-73.51159848,45.60795213
Méfait,9/7/2019,jour,39,295556.999,5051916.826,-73.61849704,45.60709241
Vol de véhicule à moteur,9/9/2019,nuit,26,295568.798,5040309.197,-73.61812674,45.5026433
Introduction,9/10/2019,soir,38,298766.4088,5041245.535,-73.5772202,45.51110384
Introduction,9/11/2019,nuit,38,297116.296,5042179.214,-73.59835358,45.51948923
Introduction,9/11/2019,soir,7,290179.334,5042045.268,-73.68714428,45.51817297
Méfait,9/12/2019,soir,33,294423.416,5043343.566,-73.63284777,45.52993163
Vol dans / sur véhicule à moteur,9/13/2019,soir,13,296463.101,5032035.9,-73.60654252,45.42820751
Introduction,9/14/2019,jour,49,305922.807,5062275.718,-73.48558148,45.70036425
Vols qualifiés,9/15/2019,jour,13,292740.125,5031620.5,-73.65411047,45.42441524
Introduction,9/16/2019,soir,3,275904,5038067.5,-73.86963116,45.48193454
Vol dans / sur véhicule à moteur,9/16/2019,jour,8,292011.5,5033890,-73.66348032,45.4448244
Introduction,9/17/2019,soir,3,275980.688,5037954,-73.86864354,45.48091641
Vol dans / sur véhicule à moteur,9/18/2019,soir,4,280802.547,5039339.421,-73.80703321,45.49356528
Méfait,9/19/2019,jour,5,286407.188,5034880,-73.7351589,45.45360785
Introduction,9/20/2019,jour,38,299282.209,5041887.078,-73.57062602,45.51688098
Vol dans / sur véhicule à moteur,9/21/2019,jour,30,296568.571,5046617.068,-73.60543921,45.55941638
Vol de véhicule à moteur,9/22/2019,soir,35,296598.602,5043790.08,-73.60500716,45.53397851
Vol de véhicule à moteur,9/23/2019,jour,49,303680.054,5052467.61,-73.5143592,45.61210906
Méfait,9/24/2019,jour,49,304409.244,5058880.187,-73.50501516,45.66981158
Introduction,9/25/2019,jour,48,303357.752,5052042.621,-73.51849029,45.60828431
Vol de véhicule à moteur,9/26/2019,jour,38,298001.936,5043129.094,-73.58703033,45.52804582
Introduction,9/27/2019,soir,38,299190.813,5041656.576,-73.57179322,45.5148061
Vol dans / sur véhicule à moteur,9/28/2019,jour,48,301476.791,5051250.98,-73.54259968,45.60115446
Vol dans / sur véhicule à moteur,9/29/2019,soir,39,294231.188,5052544.5,-73.63550775,45.61272147
Méfait,9/30/2019,jour,7,289514.75,5040604,-73.69560597,45.50518967
Méfait,10/1/2019,jour,38,298330.749,5041882.262,-73.58280433,45.51682947
Vol de véhicule à moteur,10/2/2019,jour,15,298377.424,5035384.132,-73.5821219,45.45835683
Introduction,10/3/2019,nuit,26,295170.558,5042614.012,-73.62326806,45.52337755
Introduction,10/4/2019,soir,31,296880.852,5045423.163,-73.60141978,45.54867684
Méfait,10/5/2019,nuit,31,296098.013,5045114.071,-73.61144001,45.54588618
Introduction,10/6/2019,soir,8,289665.375,5033202.5,-73.69345044,45.43859109
Méfait,10/7/2019,nuit,21,299786.892,5041575.863,-73.56416305,45.51408435
Introduction,10/8/2019,nuit,27,291315.312,5045309.133,-73.67269372,45.54756524
Méfait,10/8/2019,jour,35,296633.047,5043164.884,-73.60455572,45.52835317
Méfait,10/9/2019,jour,38,298181.404,5042765.582,-73.58472783,45.52477652
Méfait,10/10/2019,soir,3,275856.906,5037110.5,-73.87017717,45.47332124
Vol de véhicule à moteur,10/11/2019,jour,4,280164.772,5040282.5,-73.81524039,45.50202917
Introduction,10/13/2019,jour,13,295392.245,5033432.263,-73.62025432,45.44075913
Méfait,10/14/2019,jour,5,279151.718,5036535.183,-73.82800781,45.46827313
Méfait,10/15/2019,soir,50,295818.0944,5042264.135,-73.61497245,45.52023787
Vol dans / sur véhicule à moteur,10/15/2019,soir,22,301216.124,5042936.842,-73.54588019,45.5263398
Vol dans / sur véhicule à moteur,10/16/2019,jour,22,300765.509,5042259.017,-73.55164331,45.520238
Vol dans / sur véhicule à moteur,10/17/2019,jour,10,288709.604,5042801.551,-73.70598152,45.5249459
Introduction,10/17/2019,jour,13,293724.421,5031473.55,-73.6415291,45.42310918
Méfait,10/18/2019,nuit,33,293343.435,5043714.287,-73.64668302,45.53325059
Vol dans / sur véhicule à moteur,10/19/2019,soir,22,300871.295,5043140.595,-73.55029627,45.52817139
Méfait,10/21/2019,soir,1,276667.563,5035880.5,-73.85973881,45.46228645
Vol dans / sur véhicule à moteur,10/21/2019,nuit,21,300325.784,5040773.934,-73.55725843,45.50687193
Vol dans / sur véhicule à moteur,10/22/2019,jour,38,298744.597,5043323.59,-73.57752503,45.52980281
Vols qualifiés,10/23/2019,jour,23,302148.373,5045232.894,-73.53395813,45.54700471
Méfait,10/23/2019,soir,13,292841.438,5032221.5,-73.65283041,45.42982509
Vol dans / sur véhicule à moteur,10/24/2019,jour,15,298636.732,5037872.848,-73.57883749,45.48075381
Introduction,10/25/2019,nuit,48,302507.206,5050860.095,-73.52938912,45.59764133
Vol dans / sur véhicule à moteur,10/26/2019,soir,20,298392.824,5040148.586,-73.58198714,45.50122971
Introduction,10/27/2019,soir,44,298978.576,5045416.111,-73.57455437,45.54863408
Méfait,10/28/2019,soir,26,294892.736,5039948.081,-73.62677063,45.49938456
Méfait,10/29/2019,soir,46,298177.5,5053020.5,-73.58491675,45.61705345
Vol dans / sur véhicule à moteur,10/29/2019,jour,26,296141.87,5042794.573,-73.61083735,45.52501505
Vol de véhicule à moteur,10/30/2019,jour,7,289932.074,5038532.123,-73.69020271,45.48655513
Introduction,10/31/2019,jour,5,284376.394,5035382.398,-73.76114396,45.45807223
Vols qualifiés,11/1/2019,soir,45,299619.863,5057292.558,-73.56646755,45.65550659
Vol de véhicule à moteur,11/2/2019,nuit,49,305535.464,5059754.102,-73.49055936,45.67767493
Méfait,11/3/2019,soir,39,294917.594,5050449,-73.62666459,45.59387574
Vol dans / sur véhicule à moteur,11/4/2019,jour,5,281991.156,5036222,-73.79168109,45.4655535
Introduction,11/4/2019,jour,22,300223.031,5043959.231,-73.55860315,45.53553383
Introduction,11/5/2019,nuit,48,303902.21,5052034.105,-73.51151007,45.60820859
Introduction,11/6/2019,nuit,45,300621.522,5057209.256,-73.55361432,45.65476378
Vols qualifiés,11/7/2019,jour,31,295465.198,5045108.07,-73.61954387,45.54582399
Vol de véhicule à moteur,11/8/2019,soir,23,301803.837,5045390.509,-73.5383714,45.54842159
Introduction,11/9/2019,nuit,15,297939.055,5037340.095,-73.58775438,45.47595335
Vol de véhicule à moteur,11/10/2019,soir,48,302825.972,5050181.933,-73.52530043,45.59154002
Méfait,11/11/2019,jour,35,297061.911,5043974.324,-73.59907807,45.53564171
Vol de véhicule à moteur,11/12/2019,jour,31,294024.389,5044453.609,-73.63798079,45.53991413
Introduction,11/13/2019,soir,48,299745.776,5049780.077,-73.56477404,45.58790843
Introduction,11/14/2019,soir,15,297945.145,5036814.393,-73.58766915,45.4712229
Vol de véhicule à moteur,11/15/2019,jour,7,288681.4844,5041594.652,-73.7063018,45.51408515
